Salary,Sex,Race,Age,Edlevel,Work,Union,Time,Marr,Jobcat
4943,1,0,61.33,8,2.92,0,84,1,1
9001,0,0,41.55,12,23.22,0,62,1,1
13380,0,0,31.91,19,6.88,0,67,0,4
2585,1,1,36.09,8,5.82,0,78,0,3
14865,1,0,32.92,16,6.75,0,81,0,4
10477,0,0,28.83,17,1.42,0,68,1,5
7593,1,0,25.83,12,0,0,93,0,2
8069,0,0,28.75,15,3.83,0,67,0,2
8491,0,1,29.67,12,5.75,0,64,1,1
6211,1,1,51.58,15,14.25,0,97,0,1
17632,0,0,41.92,19,13,0,83,0,4
4922,1,0,38.68,12,1.62,1,84,1,2
5426,0,0,24.92,8,2,0,80,1,1
7446,1,0,28.17,12,2.17,0,88,1,1
7796,0,0,27.02,12,6.73,1,67,1,2
9925,0,0,38.5,15,11.5,0,98,1,1
8954,0,0,45,14,22.21,0,86,1,1
5572,1,1,40.67,12,10.08,0,69,1,1
3026,1,1,33.83,12,4.92,0,85,0,1
9238,0,0,54.33,12,27,1,88,0,1
6674,0,0,32.67,15,6.92,0,72,1,1
6644,0,0,48.67,12,3.36,0,92,0,2
13010,0,0,45.84,16,9.99,1,80,1,2
8068,0,0,27.58,15,1,0,76,1,2
13318,0,0,44.42,16,12.42,0,82,1,1
8012,0,0,34,16,4.92,1,94,0,4
6032,0,0,29.5,19,0.75,1,68,1,4
15671,1,0,41.78,16,9.08,0,87,0,4
2259,1,1,28.25,8,2.9,0,87,1,1
18207,0,0,37.21,15,15.69,0,71,0,4
4840,1,0,23.42,12,0.17,0,68,1,2
12316,0,1,32.08,17,5.58,0,70,1,4
8964,0,1,47.94,15,18.75,0,77,0,1
7802,0,1,48.83,8,25.17,0,83,1,3
10582,0,1,44.67,15,18,1,83,0,1
8553,1,0,28.5,15,0.5,0,78,1,2
13126,1,0,51.31,15,28.57,0,77,1,1
8269,0,0,35.67,16,3,0,98,1,1
17043,0,0,40.33,16,12.5,0,73,1,4
10951,1,0,28.52,12,5.89,0,84,1,2
11048,0,0,63.58,12,29,0,69,0,3
7652,1,0,26.83,16,1.67,0,64,0,2
5382,0,0,34.01,12,1.9,1,95,0,1
24628,0,0,42.58,19,16.58,0,80,1,4
9110,0,0,34.17,14,9.17,0,69,1,1
6840,0,0,31.01,15,3.15,0,99,1,1
6935,0,1,27.45,8,11.85,1,80,1,1
5558,0,0,27.42,15,1.17,0,96,1,1
6979,0,0,28.97,12,1.15,0,88,1,2
6166,0,1,31,15,4.5,0,87,1,1
4914,0,0,33.65,8,0.99,0,95,0,1
6399,0,1,28.33,15,5.33,0,83,0,1
7645,1,0,23.75,12,0,0,69,1,2
13914,0,1,35.33,16,10.67,0,66,0,4
14405,1,0,35.26,12,15.91,0,71,1,2
7063,0,0,30.42,14,4.42,0,78,0,1
6896,1,0,24.33,12,0.33,0,77,1,2
13082,0,0,50.88,12,29.06,0,78,1,2
3238,1,1,26.08,8,0.67,0,93,1,1
14109,0,0,30.75,19,5.17,0,81,1,4
8255,0,0,31.51,16,6.18,1,92,1,1
8581,0,0,29.75,15,6,0,82,1,1
9757,0,0,59.83,12,32.25,0,78,1,3
5491,1,1,35.68,16,4.49,1,68,1,4
12526,1,0,36.01,14,16.21,0,62,1,2
14087,0,0,33.59,19,5.27,1,91,0,4
8615,1,0,24.44,8,8.75,0,80,1,1
5466,0,0,29.5,15,2.75,0,84,1,1
7837,1,1,46.58,12,16.08,1,93,1,1
6717,0,1,32.92,8,12.92,0,68,1,3
8782,0,0,32.7,12,12.15,1,95,1,2
7291,1,0,59.83,8,26.5,0,74,1,1
5828,1,0,44.53,12,2.61,1,97,1,2
10159,1,0,28.08,15,0,1,93,0,2
11289,0,1,48.25,12,22.67,0,74,1,4
7199,0,1,33.66,16,1.55,0,82,1,4
11315,0,0,33.42,12,10,0,94,0,2
6227,0,0,54.17,12,25.67,1,79,1,3
5462,1,0,24.67,12,0.42,0,79,1,2
7961,1,0,29.4,16,2.5,0,96,1,1
6419,0,0,46.25,12,21,0,88,1,1
5017,1,1,60.67,12,10.33,0,97,0,1
9244,0,1,53.2,12,17.03,1,100,1,1
7587,0,0,30.92,16,1.67,0,86,1,1
12154,0,0,31.67,19,0.58,0,93,0,4
5566,1,1,55.17,15,19.25,0,84,1,1
7450,1,0,29.08,15,4.75,1,64,0,2
13495,1,0,64.5,12,31.75,0,98,1,1
4968,1,1,39,12,10.58,0,70,0,1
8824,0,0,29.17,18,2.5,0,79,0,1
5836,0,0,55.58,8,14.25,1,85,0,1
4730,0,0,29.92,12,4,0,78,1,1
10197,1,0,57.83,12,16.33,0,67,0,1
14132,1,0,43.92,16,11.92,0,98,1,2
8215,0,0,31.75,12,8.58,0,97,1,1
9782,0,1,34.58,12,8.5,0,94,0,2
8146,0,0,32.25,15,7.08,0,90,1,1
15353,0,0,41.17,15,12,0,98,1,4
10905,0,0,49.19,12,21.5,0,63,0,1
7224,0,1,31.56,16,0.68,1,67,1,1
10472,0,0,57.42,12,32.08,0,76,1,1
